,Area,BHK,Bathroom,Furnishing,Locality,Parking,Price,Status,Transaction,Type,LOG PRICE,Chhattarpur,Chittaranjan Park,Common Wealth Games Village,Dilshad Garden,Dwarka,Greater Kailash,Hauz Khas,Kalkaji,Karol Bagh,Kirti Nagar,Lajpat Nagar,Laxmi Nagar,Mahavir Enclave,Malviya Nagar,Mathura Road,Mehrauli,New Friends Colony,Okhla,Other,Paschim Vihar,Patel Nagar,Rohini Sector,Safdarjung Enclave,Saket,Shahdara,Sheikh Sarai,Sultanpur,Uttam Nagar,Vasant Kunj,Vasundhara Enclave
99,1350.0,3,3.0,0.0,Lajpat Nagar,1.0,41500000,1,1,0,17.541203985200926,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1710.0,3,3.0,0.5,Lajpat Nagar,1.0,24800000,1,0,0,17.02635421113521,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1350.0,3,3.0,0.5,Lajpat Nagar,2.0,35000000,1,0,0,17.37085861945369,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1500.0,3,3.0,0.5,Lajpat Nagar,1.0,40000000,1,0,0,17.50439001207821,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,2880.0,4,5.0,0.0,Lajpat Nagar,1.0,46000000,1,1,0,17.64415195445337,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,2700.0,4,4.0,0.5,Lajpat Nagar,2.0,55000000,1,0,0,17.822843743196746,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,1400.0,3,3.0,0.0,Lajpat Nagar,1.0,24500000,1,0,0,17.014183675514957,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,1800.0,3,3.0,0.0,Lajpat Nagar,1.0,24500000,1,0,1,17.014183675514957,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,1400.0,3,3.0,0.5,Lajpat Nagar,1.0,32500000,1,1,0,17.296750647299966,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,1000.0,2,2.0,1.0,Lajpat Nagar,1.0,20000000,1,0,1,16.811242831518264,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,8000.0,4,5.0,0.5,Lajpat Nagar,1.0,240000000,1,1,0,19.296149481306266,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,1000.0,2,2.0,1.0,Lajpat Nagar,1.0,20000000,1,0,1,16.811242831518264,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,1700.0,3,3.0,1.0,Lajpat Nagar,2.0,19000000,1,0,0,16.759949537130716,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,1600.0,3,3.0,0.0,Lajpat Nagar,2.0,26000000,1,0,0,17.073607095985757,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,1350.0,3,3.0,0.0,Lajpat Nagar,1.0,21000000,1,0,0,16.860032995687696,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,1700.0,3,3.0,0.5,Lajpat Nagar,1.0,27500000,1,0,0,17.1296965626368,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,1400.0,3,3.0,0.5,Lajpat Nagar,2.0,32500000,1,1,0,17.296750647299966,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
